betai,K,K_M
0,27052171.5305551,55613495.7732972
0.00821585857262416,27059209.3995949,55620017.6165932
0.0164317171452483,27066223.525157,55626505.026863
0.0246475757178725,27073213.9977283,55632958.0915319
0.0328634342904966,27080180.9070972,55639376.8972637
0.0410792928631208,27087124.3423605,55645761.5299678
0.049295151435745,27094044.3919309,55652112.0748064
0.0575110100083691,27100941.1435443,55658428.6162019
0.0657268685809933,27107814.6842665,55664711.2378434
0.0739427271536174,27114665.1005002,55670960.0226938
0.0821585857262416,27121492.4779922,55677175.0529968
0.0903744442988657,27128296.9018398,55683356.4102832
0.0985903028714899,27135078.4564977,55689504.1753778
0.106806161444114,27141837.2257844,55695618.4284059
0.115022020016738,27148573.2928889,55701699.2487994
0.123237878589362,27155286.7403769,55707746.7153038
0.131453737161987,27161977.6501973,55713760.9059835
0.139669595734611,27168646.1036884,55719741.8982289
0.147885454307235,27175292.1815839,55725689.7687618
0.156101312879859,27181915.9640194,55731604.5936421
0.164317171452483,27188517.5305377,55737486.4482728
0.172533030025107,27195096.9600954,55743335.4074065
0.180748888597731,27201654.3310685,55749151.5451512
0.188964747170356,27208189.7212581,55754934.9349754
0.19718060574298,27214703.2078959,55760685.6497143
0.205396464315604,27221194.8676504,55766403.7615751
0.213612322888228,27227664.7766318,55772089.3421424
0.221828181460852,27234113.0103981,55777742.4623835
0.230044040033476,27240539.6439597,55783363.1926541
0.238259898606101,27246944.7517857,55788951.6027032
0.246475757178725,27253328.4078082,55794507.7616781
0.254691615751349,27259690.6854282,55800031.7381302
0.262907474323973,27266031.6575206,55805523.6000192
0.271123332896597,27272351.3964389,55810983.4147186
0.279339191469221,27278649.9740207,55816411.2490206
0.287555050041846,27284927.4615922,55821807.1691404
0.29577090861447,27291183.9299733,55827171.2407217
0.303986767187094,27297419.4494826,55832503.528841
0.312202625759718,27303634.0899416,55837804.0980122
0.320418484332342,27309827.92068,55843073.0121915
0.328634342904966,27316001.0105399,55848310.3347814
0.336850201477591,27322153.4278808,55853516.128636
0.345066060050215,27328285.2405835,55858690.4560644
0.353281918622839,27334396.5160553,55863833.3788359
0.361497777195463,27340487.3212339,55868944.9581838
0.369713635768087,27346557.7225919,55874025.2548098
0.377929494340711,27352607.786141,55879074.3288882
0.386145352913336,27358637.5774366,55884092.24007
0.39436121148596,27364647.1615815,55889079.0474872
0.402577070058584,27370636.6032305,55894034.8097561
0.410792928631208,27376605.9665943,55898959.5849824
0.419008787203832,27382555.3154434,55903853.4307639
0.427224645776456,27388484.7131122,55908716.4041955
0.43544050434908,27394394.2225033,55913548.5618721
0.443656362921705,27400283.9060907,55918349.959893
0.451872221494329,27406153.8259244,55923120.6538653
0.460088080066953,27412004.0436337,55927860.6989076
0.468303938639577,27417834.620431,55932570.1496538
0.476519797212201,27423645.6171158,55937249.0602565
0.484735655784825,27429437.0940782,55941897.4843908
0.49295151435745,27435209.1113025,55946515.4752571
0.501167372930074,27440961.7283708,55951103.0855856
0.509383231502698,27446695.0044667,55955660.3676389
0.517599090075322,27452408.9983785,55960187.3732155
0.525814948647946,27458103.7685029,55964684.1536534
0.53403080722057,27463779.3728484,55969150.759833
0.542246665793194,27469435.8690386,55973587.2421807
0.550462524365819,27475073.3143157,55977993.6506719
0.558678382938443,27480691.7655434,55982370.0348341
0.566894241511067,27486291.2792108,55986716.4437501
0.575110100083691,27491871.9114351,55991032.9260608
0.583325958656315,27497433.7179648,55995319.5299689
0.59154181722894,27502976.7541833,55999576.3032412
0.599757675801564,27508501.0751115,56003803.2932118
0.607973534374188,27514006.7354114,56008000.5467851
0.616189392946812,27519493.7893885,56012168.1104388
0.624405251519436,27524962.2909955,56016306.0302261
0.63262111009206,27530412.2938346,56020414.3517794
0.640836968664684,27535843.8511611,56024493.1203125
0.649052827237309,27541257.0158857,56028542.3806233
0.657268685809933,27546651.840578,56032562.177097
0.665484544382557,27552028.3774687,56036552.5537082
0.673700402955181,27557386.6784529,56040513.5540237
0.681916261527805,27562726.7950926,56044445.2212056
0.690132120100429,27568048.7786197,56048347.598013
0.698347978673054,27573352.6799383,56052220.7268051
0.706563837245678,27578638.5496279,56056064.6495438
0.714779695818302,27583906.4379456,56059879.4077956
0.722995554390926,27589156.3948292,56063665.0427346
0.73121141296355,27594388.4698993,56067421.5951448
0.739427271536174,27599602.7124621,56071149.105422
0.747643130108798,27604799.1715121,56074847.613577
0.755858988681423,27609977.8957344,56078517.159237
0.764074847254047,27615138.9335071,56082157.7816486
0.772290705826671,27620282.332904,56085769.5196798
0.780506564399295,27625408.1416971,56089352.411822
0.788722422971919,27630516.4073585,56092906.4961925
0.796938281544543,27635607.1770632,56096431.8105367
0.805154140117168,27640680.4976917,56099928.39223
0.813369998689792,27645736.4158315,56103396.2782802
0.821585857262416,27650774.9777801,56106835.5053291
0.82980171583504,27655796.2295472,56110246.1096554
0.838017574407664,27660800.2168566,56113628.1271759
0.846233432980288,27665786.9851488,56116981.5934478
0.854449291552913,27670756.5795828,56120306.5436708
0.862665150125537,27675709.0450389,56123603.0126893
0.870881008698161,27680644.4261202,56126871.0349935
0.879096867270785,27685562.7671552,56130110.6447222
0.887312725843409,27690464.1121994,56133321.8756642
0.895528584416033,27695348.5050381,56136504.7612602
0.903744442988658,27700215.989188,56139659.3346047
0.911960301561282,27705066.6078991,56142785.6284479
0.920176160133906,27709900.4041571,56145883.6751975
0.92839201870653,27714717.4206853,56148953.5069201
0.936607877279154,27719517.6999465,56151995.1553433
0.944823735851778,27724301.2841449,56155008.6518574
0.953039594424402,27729068.2152282,56157994.027517
0.961255452997027,27733818.5348894,56160951.3130425
0.969471311569651,27738552.2845688,56163880.538822
0.977687170142275,27743269.5054559,56166781.7349131
0.985903028714899,27747970.2384908,56169654.9310439
0.994118887287523,27752654.524367,56172500.1566151
1.00233474586015,27757322.4035321,56175317.4407014
1.01055060443277,27761973.9161904,56178106.812053
1.0187664630054,27766609.1023045,56180868.2990973
1.02698232157802,27771228.0015968,56183601.92994
1.03519818015064,27775830.6535515,56186307.7323669
1.04341403872327,27780417.0974163,56188985.7338456
1.05162989729589,27784987.3722041,56191635.9615263
1.05984575586852,27789541.5166944,56194258.4422435
1.06806161444114,27794079.5694358,56196853.2025177
1.07627747301376,27798601.5687465,56199420.2685564
1.08449333158639,27803107.5527168,56201959.6662554
1.09270919015901,27807597.5592107,56204471.4212007
1.10092504873164,27812071.6258668,56206955.5586692
1.10914090730426,27816529.7901007,56209412.1036301
1.11735676587689,27820972.0891063,56211841.0807466
1.12557262444951,27825398.5598569,56214242.5143768
1.13378848302213,27829809.2391077,56216616.4285749
1.14200434159476,27834204.1633963,56218962.8470927
1.15022020016738,27838583.369045,56221281.7933806
1.15843605874001,27842946.8921619,56223573.2905888
1.16665191731263,27847294.7686425,56225837.3615688
1.17486777588525,27851627.034171,56228074.0288739
1.18308363445788,27855943.724222,56230283.314761
1.1912994930305,27860244.8740621,56232465.2411913
1.19951535160313,27864530.5187505,56234619.8298318
1.20773121017575,27868800.6931416,56236747.1020558
1.21594706874838,27873055.4318853,56238847.0789446
1.224162927321,27877294.7694291,56240919.781288
1.23237878589362,27881518.7400191,56242965.2295859
1.24059464446625,27885727.3777017,56244983.4440488
1.24881050303887,27889920.7163245,56246974.4445991
1.2570263616115,27894098.7895379,56248938.250872
1.26524222018412,27898261.6307965,56250874.8822166
1.27345807875674,27902409.2733602,56252784.3576966
1.28167393732937,27906541.7502955,56254666.6960915
1.28988979590199,27910659.0944772,56256521.9158973
1.29810565447462,27914761.3385887,56258350.0353277
1.30632151304724,27918848.5151244,56260151.0723146
1.31453737161987,27922920.6563903,56261925.0445095
1.32275323019249,27926977.7945052,56263671.9692838
1.33096908876511,27931019.9614022,56265391.8637299
1.33918494733774,27935047.1888297,56267084.7446623
1.34740080591036,27939059.5083527,56268750.6286179
1.35561666448299,27943056.9513539,56270389.5318574
1.36383252305561,27947039.5490351,56272001.4703653
1.37204838162823,27951007.332418,56273586.4598516
1.38026424020086,27954960.3323455,56275144.5157517
1.38848009877348,27958898.579483,56276675.653228
1.39669595734611,27962822.1043194,56278179.8871697
1.40491181591873,27966730.9371681,56279657.2321943
1.41312767449136,27970625.1081684,56281107.702648
1.42134353306398,27974504.6472862,56282531.3126062
1.4295593916366,27978369.5843155,56283928.0758744
1.43777525020923,27982219.9488791,56285298.0059891
1.44599110878185,27986055.7704302,56286641.116218
1.45420696735448,27989877.0782526,56287957.4195606
1.4624228259271,27993683.9014626,56289246.9287494
1.47063868449972,27997476.2690096,56290509.6562499
1.47885454307235,28001254.2096772,56291745.6142615
1.48707040164497,28005017.7520842,56292954.8147182
1.4952862602176,28008766.9246857,56294137.2692886
1.50350211879022,28012501.7557739,56295292.9893773
1.51171797736285,28016222.2734794,56296421.9861245
1.51993383593547,28019928.5057718,56297524.2704075
1.52814969450809,28023620.480461,56298599.8528403
1.53636555308072,28027298.2251981,56299648.7437748
1.54458141165334,28030961.7674761,56300670.953301
1.55279727022597,28034611.1346311,56301666.4912473
1.56101312879859,28038246.3538431,56302635.3671814
1.56922898737121,28041867.4521372,56303577.5904103
1.57744484594384,28045474.4563839,56304493.1699811
1.58566070451646,28049067.3933008,56305382.1146813
1.59387656308909,28052646.289453,56306244.433039
1.60209242166171,28056211.1712539,56307080.1333236
1.61030828023434,28059762.0649666,56307889.2235462
1.61852413880696,28063298.9967042,56308671.7114596
1.62673999737958,28066821.992431,56309427.6045591
1.63495585595221,28070331.0779634,56310156.9100826
1.64317171452483,28073826.2789706,56310859.635011
1.65138757309746,28077307.6209752,56311535.7860686
1.65960343167008,28080775.1293549,56312185.3697234
1.6678192902427,28084228.8293422,56312808.392187
1.67603514881533,28087668.746026,56313404.8594157
1.68425100738795,28091094.9043521,56313974.7771101
1.69246686596058,28094507.3291244,56314518.1507155
1.7006827245332,28097906.045005,56315034.9854224
1.70889858310583,28101291.0765154,56315525.2861665
1.71711444167845,28104662.4480377,56315989.057629
1.72533030025107,28108020.1838144,56316426.3042368
1.7335461588237,28111364.3079501,56316837.0301629
1.74176201739632,28114694.8444116,56317221.2393263
1.74997787596895,28118011.8170293,56317578.9353922
1.75819373454157,28121315.2494972,56317910.1217725
1.76640959311419,28124605.1653743,56318214.8016256
1.77462545168682,28127881.5880849,56318492.9778568
1.78284131025944,28131144.5409196,56318744.6531182
1.79105716883207,28134394.0470359,56318969.829809
1.79927302740469,28137630.1294588,56319168.5100755
1.80748888597732,28140852.811082,56319340.6958113
1.81570474454994,28144062.1146679,56319486.3886574
1.82392060312256,28147258.0628489,56319605.5900021
1.83213646169519,28150440.6781276,56319698.3009813
1.84035232026781,28153609.982878,56319764.5224783
1.84856817884044,28156765.9993456,56319804.2551242
1.85678403741306,28159908.7496487,56319817.4992974
1.86499989598568,28163038.2557786,56319804.2551242
1.87321575455831,28166154.5396004,56319764.5224783
1.88143161313093,28169257.6228536,56319698.3009813
1.88964747170356,28172347.5271532,56319605.5900021
1.89786333027618,28175424.2739894,56319486.3886574
1.9060791888488,28178487.8847293,56319340.6958113
1.91429504742143,28181538.3806166,56319168.5100755
1.92251090599405,28184575.7827731,56318969.829809
1.93072676456668,28187600.1121987,56318744.6531182
1.9389426231393,28190611.389772,56318492.9778568
1.94715848171193,28193609.6362514,56318214.8016256
1.95537434028455,28196594.8722753,56317910.1217725
1.96359019885717,28199567.1183629,56317578.9353922
1.9718060574298,28202526.3949146,56317221.2393263
1.98002191600242,28205472.7222128,56316837.0301629
1.98823777457505,28208406.1204224,56316426.3042368
1.99645363314767,28211326.6095913,56315989.057629
2.00466949172029,28214234.209651,56315525.2861665
2.01288535029292,28217128.9404174,56315034.9854224
2.02110120886554,28220010.8215911,56314518.1507155
2.02931706743817,28222879.8727579,56313974.7771101
2.03753292601079,28225736.1133898,56313404.8594157
2.04574878458342,28228579.5628449,56312808.392187
2.05396464315604,28231410.2403685,56312185.3697234
2.06218050172866,28234228.1650934,56311535.7860686
2.07039636030129,28237033.3560405,56310859.635011
2.07861221887391,28239825.8321192,56310156.9100826
2.08682807744654,28242605.612128,56309427.6045591
2.09504393601916,28245372.7147554,56308671.7114596
2.10325979459178,28248127.1585796,56307889.2235462
2.11147565316441,28250868.9620697,56307080.1333236
2.11969151173703,28253598.143586,56306244.433039
2.12790737030966,28256314.7213805,56305382.1146813
2.13612322888228,28259018.7135973,56304493.1699811
2.14433908745491,28261710.1382732,56303577.5904103
2.15255494602753,28264389.0133383,56302635.3671814
2.16077080460015,28267055.3566162,56301666.4912473
2.16898666317278,28269709.1858249,56300670.953301
2.1772025217454,28272350.5185767,56299648.7437748
2.18541838031803,28274979.3723793,56298599.8528403
2.19363423889065,28277595.7646357,56297524.2704075
2.20185009746327,28280199.7126452,56296421.9861245
2.2100659560359,28282791.2336034,56295292.9893773
2.21828181460852,28285370.344603,56294137.2692886
2.22649767318115,28287937.062634,56292954.8147182
2.23471353175377,28290491.4045843,56291745.6142615
2.2429293903264,28293033.3872403,56290509.6562499
2.25114524889902,28295563.0272868,56289246.9287494
2.25936110747164,28298080.341308,56287957.4195606
2.26757696604427,28300585.3457878,56286641.116218
2.27579282461689,28303078.05711,56285298.0059891
2.28400868318952,28305558.491559,56283928.0758744
2.29222454176214,28308026.66532,56282531.3126062
2.30044040033476,28310482.5944796,56281107.702648
2.30865625890739,28312926.2950262,56279657.2321943
2.31687211748001,28315357.7828504,56278179.8871697
2.32508797605264,28317777.073745,56276675.653228
2.33330383462526,28320184.1834063,56275144.5157517
2.34151969319789,28322579.1274336,56273586.4598516
2.34973555177051,28324961.9213302,56272001.4703653
2.35795141034313,28327332.5805034,56270389.5318574
2.36616726891576,28329691.1202653,56268750.6286179
2.37438312748838,28332037.5558326,56267084.7446623
2.38259898606101,28334371.9023277,56265391.8637299
2.39081484463363,28336694.1747785,56263671.9692838
2.39903070320625,28339004.3881192,56261925.0445095
2.40724656177888,28341302.5571902,56260151.0723146
2.4154624203515,28343588.696739,56258350.0353277
2.42367827892413,28345862.8214202,56256521.9158973
2.43189413749675,28348124.9457959,56254666.6960915
2.44010999606938,28350375.0843364,56252784.3576966
2.448325854642,28352613.2514201,56250874.8822166
2.45654171321462,28354839.4613342,56248938.250872
2.46475757178725,28357053.7282747,56246974.4445991
2.47297343035987,28359256.0663471,56244983.4440488
2.4811892889325,28361446.4895668,56242965.2295859
2.48940514750512,28363625.011859,56240919.781288
2.49762100607774,28365791.6470593,56238847.0789446
2.50583686465037,28367946.4089143,56236747.1020558
2.51405272322299,28370089.3110813,56234619.8298318
2.52226858179562,28372220.3671293,56232465.2411913
2.53048444036824,28374339.5905389,56230283.314761
2.53870029894087,28376446.9947029,56228074.0288739
2.54691615751349,28378542.5929263,56225837.3615688
2.55513201608611,28380626.3984269,56223573.2905888
2.56334787465874,28382698.4243355,56221281.7933806
2.57156373323136,28384758.6836963,56218962.8470927
2.57977959180399,28386807.1894672,56216616.4285749
2.58799545037661,28388843.9545199,56214242.5143768
2.59621130894923,28390868.9916404,56211841.0807466
2.60442716752186,28392882.3135294,56209412.1036301
2.61264302609448,28394883.9328024,56206955.5586692
2.62085888466711,28396873.8619901,56204471.4212007
2.62907474323973,28398852.1135386,56201959.6662554
2.63729060181236,28400818.6998099,56199420.2685564
2.64550646038498,28402773.6330819,56196853.2025177
2.6537223189576,28404716.925549,56194258.4422435
2.66193817753023,28406648.5893222,56191635.9615263
2.67015403610285,28408568.6364293,56188985.7338456
2.67836989467548,28410477.0788154,56186307.7323669
2.6865857532481,28412373.9283432,56183601.92994
2.69480161182072,28414259.1967927,56180868.2990973
2.70301747039335,28416132.8958626,56178106.812053
2.71123332896597,28417995.0371693,56175317.4407014
2.7194491875386,28419845.6322481,56172500.1566151
2.72766504611122,28421684.692553,56169654.9310439
2.73588090468385,28423512.2294572,56166781.7349131
2.74409676325647,28425328.2542532,56163880.538822
2.75231262182909,28427132.7781531,56160951.3130425
2.76052848040172,28428925.8122888,56157994.027517
2.76874433897434,28430707.3677126,56155008.6518574
2.77696019754697,28432477.4553968,56151995.1553433
2.78517605611959,28434236.0862348,56148953.5069201
2.79339191469221,28435983.2710404,56145883.6751975
2.80160777326484,28437719.0205489,56142785.6284479
2.80982363183746,28439443.3454167,56139659.3346047
2.81803949041009,28441156.256222,56136504.7612602
2.82625534898271,28442857.7634648,56133321.8756642
2.83447120755533,28444547.8775671,56130110.6447222
2.84268706612796,28446226.6088733,56126871.0349935
2.85090292470058,28447893.9676503,56123603.0126893
2.85911878327321,28449549.964088,56120306.5436708
2.86733464184583,28451194.608299,56116981.5934478
2.87555050041846,28452827.9103192,56113628.1271759
2.88376635899108,28454449.8801082,56110246.1096554
2.8919822175637,28456060.527549,56106835.5053291
2.90019807613633,28457659.8624487,56103396.2782802
2.90841393470895,28459247.8945383,56099928.39223
2.91662979328158,28460824.6334734,56096431.8105367
2.9248456518542,28462390.088834,56092906.4961925
2.93306151042682,28463944.2701249,56089352.411822
2.94127736899945,28465487.1867758,56085769.5196798
2.94949322757207,28467018.8481416,56082157.7816486
2.9577090861447,28468539.2635026,56078517.159237
2.96592494471732,28470048.4420649,56074847.613577
2.97414080328995,28471546.3929599,56071149.105422
2.98235666186257,28473033.1252455,56067421.5951448
2.99057252043519,28474508.6479054,56063665.0427346
2.99878837900782,28475972.96985,56059879.4077956
