betai,K,K_M
0,79493927.1145068,175790784.029292
0.0154218026139099,79568755.7074357,175854743.720801
0.0308436052278198,79643372.1946502,175918361.588746
0.0462654078417296,79717777.2833847,175981638.301888
0.0616872104556395,79791971.6723422,176044574.520015
0.0771090130695494,79865956.0518317,176107170.894072
0.0925308156834592,79939731.1039093,176169428.066304
0.107952618297369,80013297.5025138,176231346.670396
0.123374420911279,80086655.9135996,176292927.331597
0.138796223525189,80159806.9952677,176354170.666859
0.154218026139099,80232751.3978939,176415077.284964
0.169639828753009,80305489.7642552,176475647.786646
0.185061631366918,80378022.7296509,176535882.764718
0.200483433980828,80450350.9220276,176595782.804193
0.215905236594738,80522474.9620917,176655348.482399
0.231327039208648,80594395.4634314,176714580.369097
0.246748841822558,80666113.0326283,176773479.026598
0.262170644436468,80737628.2693681,176832045.009872
0.277592447050378,80808941.7665521,176890278.866658
0.293014249664288,80880054.1104053,176948181.137573
0.308436052278198,80950965.8805787,177005752.356213
0.323857854892107,81021677.6502575,177062993.049266
0.339279657506017,81092189.9862595,177119903.736605
0.354701460119927,81162503.4491358,177176484.93139
0.370123262733837,81232618.5932679,177232737.140168
0.385545065347747,81302535.966966,177288660.862969
0.400966867961657,81372256.112561,177344256.593397
0.416388670575567,81441779.5664988,177399524.818728
0.431810473189477,81511106.8594289,177454466.019995
0.447232275803386,81580238.5162953,177509080.67208
0.462654078417296,81649175.0564251,177563369.243804
0.478075881031206,81717916.9936103,177617332.198005
0.493497683645116,81786464.8361979,177670969.991636
0.508919486259026,81854819.0871677,177724283.075833
0.524341288872936,81922980.2442165,177777271.896005
0.539763091486846,81990948.7998361,177829936.891913
0.555184894100756,82058725.2413953,177882278.497748
0.570606696714665,82126310.051211,177934297.142204
0.586028499328575,82193703.7066301,177985993.24856
0.601450301942485,82260906.6800991,178037367.234751
0.616872104556395,82327919.43924,178088419.51344
0.632293907170305,82394742.4469214,178139150.492092
0.647715709784215,82461376.1613266,178189560.573044
0.663137512398125,82527821.0360265,178239650.153572
0.678559315012035,82594077.5200457,178289419.625963
0.693981117625944,82660146.0579273,178338869.377575
0.709402920239854,82726027.0898026,178387999.790911
0.724824722853764,82791721.0514524,178436811.243678
0.740246525467674,82857228.3743722,178485304.108849
0.755668328081584,82922549.4858325,178533478.754731
0.771090130695494,82987684.8089417,178581335.545021
0.786511933309404,83052634.7627058,178628874.838868
0.801933735923314,83117399.7620868,178676096.990932
0.817355538537223,83181980.218062,178723002.351442
0.832777341151133,83246376.5376795,178769591.266253
0.848199143765043,83310589.1241148,178815864.076898
0.863620946378953,83374618.3767269,178861821.120653
0.879042748992863,83438464.6911124,178907462.730579
0.894464551606773,83502128.4591565,178952789.235586
0.909886354220683,83565610.0690878,178997800.960476
0.925308156834593,83628909.9055298,179042498.226
0.940729959448502,83692028.3495499,179086881.348908
0.956151762062412,83754965.7787093,179130950.641997
0.971573564676322,83817722.5671144,179174706.41416
0.986995367290232,83880299.0854623,179218148.970436
1.00241716990414,83942695.7010886,179261278.612052
1.01783897251805,84004912.778015,179304095.636478
1.03326077513196,84066950.6769947,179346600.337465
1.04868257774587,84128809.7555548,179388793.005088
1.06410438035978,84190490.3680454,179430673.925802
1.07952618297369,84251992.8656794,179472243.382472
1.0949479855876,84313317.5965777,179513501.654425
1.11036978820151,84374464.9058073,179554449.017485
1.12579159081542,84435435.1354287,179595085.74402
1.14121339342933,84496228.6245302,179635412.102975
1.15663519604324,84556845.7092739,179675428.359922
1.17205699865715,84617286.722932,179715134.777093
1.18747880127106,84677551.9959236,179754531.613415
1.20290060388497,84737641.8558572,179793619.124555
1.21832240649888,84797556.6275665,179832397.562955
1.23374420911279,84857296.6331465,179870867.177867
1.2491660117267,84916862.1919894,179909028.215389
1.26458781434061,84976253.6208225,179946880.918502
1.28000961695452,85035471.2337419,179984425.527104
1.29543141956843,85094515.3422474,180021662.278044
1.31085322218234,85153386.2552757,180058591.405157
1.32627502479625,85212084.2792362,180095213.139296
1.34169682741016,85270609.7180412,180131527.708363
1.35711863002407,85328962.873141,180167535.337346
1.37254043263798,85387144.0435523,180203236.248343
1.38796223525189,85445153.5258937,180238630.660601
1.4033840378658,85502991.6144135,180273718.79054
1.41880584047971,85560658.601022,180308500.851787
1.43422764309362,85618154.7753204,180342977.055205
1.44964944570753,85675480.4246306,180377147.608918
1.46507124832144,85732635.8340251,180411012.718347
1.48049305093535,85789621.2863535,180444572.586232
1.49591485354926,85846437.0622717,180477827.412658
1.51133665616317,85903083.4402704,180510777.395089
1.52675845877708,85959560.6967017,180543422.728391
1.54218026139099,86015869.1058058,180575763.604857
1.5576020640049,86072008.9397365,180607800.214236
1.57302386661881,86127980.4685888,180639532.743754
1.58844566923272,86183783.960424,180670961.378142
1.60386747184663,86239419.6812929,180702086.299661
1.61928927446054,86294887.8952645,180732907.688124
1.63471107707445,86350188.8644468,180763425.720921
1.65013287968836,86405322.849012,180793640.573044
1.66555468230227,86460290.1072223,180823552.417106
1.68097648491618,86515090.8954489,180853161.423366
1.69639828753009,86569725.4681984,180882467.759752
1.711820090144,86624194.0781337,180911471.591879
1.72724189275791,86678496.9760972,180940173.083077
1.74266369537182,86732634.411132,180968572.394403
1.75808549798573,86786606.6305034,180996669.684672
1.77350730059964,86840413.879721,181024465.11047
1.78892910321355,86894056.4025589,181051958.826178
1.80435090582746,86947534.441074,181079150.983984
1.81977270844137,87000848.2356326,181106041.733916
1.83519451105528,87053998.0249233,181132631.22385
1.85061631366919,87106984.0459808,181158919.599532
1.8660381162831,87159806.5342045,181184907.004597
1.881459918897,87212465.7233749,181210593.580586
1.89688172151091,87264961.8456773,181235979.466965
1.91230352412482,87317295.1317152,181261064.80114
1.92772532673873,87369465.8105334,181285849.718479
1.94314712935264,87421474.1096307,181310334.352321
1.95856893196655,87473320.2549817,181334518.834004
1.97399073458046,87525004.4710527,181358403.292867
1.98941253719437,87576526.9808172,181381987.85628
2.00483433980828,87627888.0057768,181405272.649648
2.02025614242219,87679087.7659727,181428257.796435
2.0356779450361,87730126.4800065,181450943.418175
